openalex_id,author_position,author_id,author_name,institution_id,institution_name,country_code
https://openalex.org/W1140131796,0,https://openalex.org/A5041753149,Derek Rusell Walker,,,
https://openalex.org/W1154354278,0,https://openalex.org/A5029327192,Marie-Ange Baucher,,,
https://openalex.org/W1154354278,1,https://openalex.org/A5061855448,Richard Scott,,,
https://openalex.org/W1154354278,2,https://openalex.org/A5070025206,Chris Cannizzaro,,,
https://openalex.org/W1154354278,3,https://openalex.org/A5060067997,Stacey Standridge,,,
https://openalex.org/W1154354278,4,https://openalex.org/A5017778680,E. A. Nesbitt,,,
https://openalex.org/W1154354278,5,https://openalex.org/A5000930137,Tarek R. Fadel,,,
https://openalex.org/W118349051,0,https://openalex.org/A5041625380,Antonio Roman-Alcalá,,,
https://openalex.org/W1195638036,0,https://openalex.org/A5082311142,Alf Hornborg,,,
https://openalex.org/W120449840,0,https://openalex.org/A5025098785,Gretchen Fox,https://openalex.org/I114027177,University of North Carolina at Chapel Hill,US
https://openalex.org/W128978027,0,https://openalex.org/A5016440728,Michael M’Gonigle,https://openalex.org/I212119943,University of Victoria,CA
https://openalex.org/W128978027,0,https://openalex.org/A5016440728,Michael M’Gonigle,https://openalex.org/I4210133605,Ecological Consulting (Czechia),CZ
https://openalex.org/W128978027,1,https://openalex.org/A5038975071,Louise Takeda,https://openalex.org/I212119943,University of Victoria,CA
https://openalex.org/W128978027,1,https://openalex.org/A5038975071,Louise Takeda,https://openalex.org/I4210133605,Ecological Consulting (Czechia),CZ
https://openalex.org/W136832057,0,https://openalex.org/A5107974203,Andrea N. Eagleman,https://openalex.org/I51158804,Massey University,NZ
https://openalex.org/W141073191,0,https://openalex.org/A5051872881,G. Coppens,,,
https://openalex.org/W14219551,0,https://openalex.org/A5034669195,Tomas Örn,,,
https://openalex.org/W144478288,0,https://openalex.org/A5009049472,Anup Sam Ninan,,,
https://openalex.org/W145355760,0,https://openalex.org/A5032036929,Nathan McClintock,https://openalex.org/I95457486,"University of California, Berkeley",US
https://openalex.org/W1467855967,0,https://openalex.org/A5087033198,Tomás Ariztía,,,
https://openalex.org/W1467855967,1,https://openalex.org/A5086558865,Dorothea Kleine,,,
https://openalex.org/W1467855967,2,https://openalex.org/A5109004016,M. das Gracas Brightwell,,,
https://openalex.org/W1467855967,3,https://openalex.org/A5038957348,Nurjk Agloni,,,
https://openalex.org/W1467855967,4,https://openalex.org/A5101446251,Ricardo Afonso,,,
https://openalex.org/W147127987,0,https://openalex.org/A5084438873,R. Scott Frey,https://openalex.org/I75027704,University of Tennessee at Knoxville,US
https://openalex.org/W1471822320,0,https://openalex.org/A5006162562,Tomas Moe Skjølsvold,https://openalex.org/I204778367,Norwegian University of Science and Technology,NO
https://openalex.org/W1471822320,1,https://openalex.org/A5083619519,Carmel Lindkvist,https://openalex.org/I204778367,Norwegian University of Science and Technology,NO
https://openalex.org/W147280868,0,https://openalex.org/A5068405445,Aníbal G. Arregui,,,
https://openalex.org/W1481167366,0,https://openalex.org/A5043251311,James Evans,https://openalex.org/I28407311,University of Manchester,GB
https://openalex.org/W1481167366,1,https://openalex.org/A5032242112,Andrew Karvonen,https://openalex.org/I28407311,University of Manchester,GB
https://openalex.org/W1481767750,0,https://openalex.org/A5087299207,Richard York,https://openalex.org/I181233156,University of Oregon,US
https://openalex.org/W1481935167,0,https://openalex.org/A5046433767,Christina Ergas,,,
https://openalex.org/W1489802847,0,https://openalex.org/A5067214564,Laura Alex Frye‐Levine,https://openalex.org/I143302722,University of Kentucky,US
https://openalex.org/W1493162510,0,https://openalex.org/A5073095724,Elżbieta Krawczyk,,,
https://openalex.org/W1493162510,1,https://openalex.org/A5083782054,Paolo Ronchetti,,,
https://openalex.org/W149866997,0,https://openalex.org/A5070962589,Magdalena Kuchler,,,
https://openalex.org/W1500095558,0,https://openalex.org/A5067211401,Elia Apostolopoulou,https://openalex.org/I21370196,Aristotle University of Thessaloniki,GR
https://openalex.org/W1500095558,1,https://openalex.org/A5047791610,G Drakou Evangelia,https://openalex.org/I21370196,Aristotle University of Thessaloniki,GR
https://openalex.org/W1500095558,1,https://openalex.org/A5047791610,G Drakou Evangelia,https://openalex.org/I2800387288,European Commission,BE
