openalex_id,keyword
https://openalex.org/W1140131796,Cloud computing
https://openalex.org/W1140131796,Computer science
https://openalex.org/W1140131796,Data science
https://openalex.org/W1140131796,Business
https://openalex.org/W1140131796,Knowledge management
https://openalex.org/W1154354278,Societal impact of nanotechnology
https://openalex.org/W1154354278,Private sector
https://openalex.org/W1154354278,Venture capital
https://openalex.org/W1154354278,Political science
https://openalex.org/W1154354278,Engineering
https://openalex.org/W1154354278,Business
https://openalex.org/W1154354278,Nanotechnology
https://openalex.org/W1154354278,Economics
https://openalex.org/W1154354278,Finance
https://openalex.org/W1154354278,Economic growth
https://openalex.org/W118349051,Sustainability
https://openalex.org/W118349051,Democracy
https://openalex.org/W118349051,Deliberative democracy
https://openalex.org/W118349051,Politics
https://openalex.org/W118349051,Mainstream
https://openalex.org/W118349051,Sustainable development
https://openalex.org/W118349051,Government (linguistics)
https://openalex.org/W118349051,Sociology
https://openalex.org/W118349051,Political science
https://openalex.org/W118349051,Economics
https://openalex.org/W1195638036,Mythology
https://openalex.org/W1195638036,Sustainability
https://openalex.org/W1195638036,Urban sustainability
https://openalex.org/W1195638036,Environmental planning
https://openalex.org/W1195638036,Geography
https://openalex.org/W1195638036,Art
https://openalex.org/W1195638036,Literature
https://openalex.org/W1195638036,Ecology
https://openalex.org/W120449840,Fishing
https://openalex.org/W120449840,Economy
https://openalex.org/W120449840,Production (economics)
https://openalex.org/W120449840,Economics
https://openalex.org/W120449840,Geography
https://openalex.org/W120449840,Economic geography
https://openalex.org/W120449840,Sociology
https://openalex.org/W120449840,Political science
https://openalex.org/W128978027,Contradiction
https://openalex.org/W128978027,Ecological modernization
https://openalex.org/W128978027,Environmental law
https://openalex.org/W128978027,Resource (disambiguation)
https://openalex.org/W128978027,State (computer science)
https://openalex.org/W128978027,Law and economics
https://openalex.org/W128978027,Politics
https://openalex.org/W128978027,Political science
https://openalex.org/W128978027,Economic system
https://openalex.org/W128978027,Law
https://openalex.org/W136832057,Neoliberalism (international relations)
https://openalex.org/W136832057,Politics
https://openalex.org/W136832057,Consumption (sociology)
https://openalex.org/W136832057,Sociology
https://openalex.org/W136832057,Political science
https://openalex.org/W136832057,Political economy
